Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
206,2023/03210 ,Granted,"DAYANE, Shailendra Ashok; GHORPADE, Ratnakar R.",ADHESIVE STRENGTH APPARATUS FOR BIOPOLYMER MATERIALS,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; DAYANE, Shailendra Ashok; GHORPADE, Ratnakar R.",2/28/2023,6/28/2023,2023/03210 ,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ryWsehwLq_OCimlkGan8Coh5isRZuHTp?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,12,13,8,4",https://docs.google.com/document/d/1mrubEN9ZiAk_pvnsuGyWb_J4aD-GU0Su/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
207,2023/02855,Granted,"HAVALDAR, Sanjay Narayan; MALAPUR, Harsh Vishwanath; KULKARNI, Kaustubh Ganesh",A CIRCULAR SOLAR RECEIVER,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; HAVALDAR, Sanjay Narayan; MALAPUR, Harsh Vishwanath; KULKARNI, Kaustubh Ganesh",2/27/2023,7/26/2023,2023/02855,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1_8b8NaGHWSDnIiWBDuUQnBX3r3NsJGPE?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"7,13,9,12,8,11",https://docs.google.com/document/d/10zrlCQxHa105hi2IP__VYszwbUYsuv7Z/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
208,2023/03193,Granted,"JADHAV, Savitri Nathrao; JADHAV, Nathrao B.; CHHATBAR, Hrishank; DESHPANDE, Atharva",PORTABLE UV-C LAMP FOR ULTRAVIOLET DISINFECTION,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; JADHAV, Savitri Nathrao; JADHAV, Nathrao B.; CHHATBAR, Hrishank; DESHPANDE, Atharva",2/28/2023,6/28/2023,2023/03193,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1BcW8rfC-gDqFLlfa6dhEos6PlGjuR1fl?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"3,6,9,12,11,13",https://docs.google.com/document/d/16uuAttnE52vSdiDbKMI81SQLGEMdzDeh/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
209,2022/13817,Granted,"ZORE, Anuj; NARKHEDE, Gaurav G.; HIWALE, Anil S.; MOTADE, Sumitra N.",A SILICONE MATRIX BASED SOFT ACTUATOR,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; ZORE, Anuj; NARKHEDE, Gaurav G.; HIWALE, Anil S.; MOTADE, Sumitra N.",12/21/2022,3/29/2023,2022/13817,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ad3m0zqS0s8VllxGoeOzCQldoeWin5j2?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"7,9,12,3,8,17",https://docs.google.com/document/d/1N5UeIfXG-pMHob6TaXOK5MDD9t3Kn9C5/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
210,2023/03124,Granted,"KADAM, Kunal Chandrakant; HAMBARDE, Manojkumar",OUTDOOR VEHICULAR AIR PURIFIER FOR HEAVY MOTOR VEHICLES,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; KADAM, Kunal Chandrakant; HAMBARDE, Manojkumar",2/28/2023,6/28/2023,2023/03124,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1Z_R6LowXO_mUi_79hVlVljuRuj_0JejR?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"11,3,13,9,12,7,17",https://docs.google.com/document/d/1eLEekNYpW7Blba1iWJQ58wWnDi6ia8Jf/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
211,201821034508,Granted,"Ganesh Suresh Jadhav, Urmi Ravindra Salve, Suhas
Deshmukh, Hemant Kallappa Shete",APPARATUS FOR CUTTING HEEL DIES FOR LEATHER AND RUBBER FOOTWEAR,"Ganesh Suresh Jadhav, Urmi Ravindra Salve, Suhas
Deshmukh",9/13/2018,11/21/2023,470777,Jadhav Ganesh S.,https://drive.google.com/drive/folders/13X1PQMWzTo7r2z1p_f8KxCftc0wn3ecP?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Design,India,,,,,,,,,,,,,,,,,,,,
212,201921002204,Granted,"Ganesh Suresh Jadhav, 	M. Arunachalam, Urmi Ravindra Salve",ADJUSTABLE SEATING-STITCHING APPARATUS FOR HAND-WOVEN LEATHER FOOTWEAR IN KOLHAPURI,"Ganesh Suresh Jadhav, 	M. Arunachalam, Urmi Ravindra Salve",1/18/2019,12/27/2023,490164,Jadhav Ganesh S.,https://drive.google.com/drive/folders/1SOGhnbbAVMuZiTUwI276hijbcEr7dFT4?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Design,India,,,,,,,,,,,,,,,,,,,,
213,202321060827,Published,"Dr. Trushita Chaware, Atharv Pardeshi, Simran Patil, Aditi Kamlapurkar, Wasif Raza, Saksham Jain, Atharva Gore, Yash Kulkarni, Tanishq Naik, Om Godbole",MULTI-STAGE VERIFICATION ACCESS CONTROL SYSTEM,Dr. Vishwanath Karad MIT World Peace University,9/10/2023,12/15/2023,50/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1z-IlWEso4Xx6ONWgterlwoMbkAKD3ql_/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"9,11,12,16",https://docs.google.com/document/d/1qdic_nniHgJus7PJ638PSNERn_wzlEY9/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
214,202321037532,Published,"Mr. Siddharth Yadhav, Dr. Surbhi Razdan, Prof. Swanand Pachpore",A DEVICE FOR CHANGING POSITION OF A DISPLACEABLE COMPONENT,Dr. Vishwanath Karad MIT World Peace University,5/31/2023,8/25/2023,"	34/2023","Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1E85HOzdC6RA4HT4uv1VNKOH_EgpGn3Bi/view?usp=drive_link,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,11,12,16",https://docs.google.com/document/d/1mcWRlz0LQE4LSTqUyEeyffvEEoi3lWfE/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
215,202321037533,Published,"Mr. Siddharth Yadhav, Dr. Surbhi Razdan, Prof. Swanand Pachpore","	AN ANTI-THEFT SYSTEM FOR A VEHICLE",Dr. Vishwanath Karad MIT World Peace University,5/31/2023,8/25/2023,"	34/2023","Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/18O-c8XzBJD1xV4W6Yn-hnoLHnV_nmBRB/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,11,12,16",https://docs.google.com/document/d/1mP5tZwDJ6U-WQC6pXcJ_K48FNZS2GCTt/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
216,202321037685,Published,"Dr. Anuja Amlesh Askhedkar, Dr. Parul Jadhav, Dr. Prasad D. Khandekar, Harshali Zodpe, Savitri Nathrao Jadhav",SYSTEM AND METHOD FOR NON-INVASIVE CONTINUOUS GLUCOSE MONITORING,Dr. Vishwanath Karad MIT World Peace University,5/31/2023,8/25/2023,"	34/2023","Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/18ZFkpNns3sCHzb68ydWmttlQm3HZ5a3t/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"3,9,11,12",https://docs.google.com/document/d/11Sa2zY-K5STyG5XuOZBu8V1E71Z2KGpo/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
217,202321037690,Published,"Dr. Parul Jadhav, Dr. Prasad D. Khandekar, Dr. Anuja Amlesh Askhedkar, Harshali Zodpe, Savitri Nathrao Jadhav",SYSTEM AND METHOD FOR CROP DAMAGE ASSESSMENT,Dr. Vishwanath Karad MIT World Peace University,5/31/2023,8/25/2023,"	34/2023","Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1zXyE55g0Fn6qCBwpMu42maWnZKR4J8vW/view?usp=drive_link,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,,,,,,,,,,,,,,,,,,,,
218,202321047519,Published,"Priya Jain, Devangi Agarwal, Aniket Suresh Ingavale",AUTOMATED PAPER PUNCHER SYSTEM AND A METHOD THEREFOR,Dr. Vishwanath Karad MIT World Peace University,7/14/2023,"	29/09/2023",39/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1o_qd3HG3PrPhuSBCHivuWyaroB7jt9lO/view?usp=drive_link,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,,,,,,,,,,,,,,,,,,,,
219,202321029342,Published,"Sagar Ramdas Sonawane, Amisha Rajkumar Pawar, Ratankumar Ashok Patil, Shweta Baban Kashid, Piyush Sanjayrao More, Ajinkyaraj Pratap Jachak",HEATING WALL FOR HOUSES IN COLD WEATHER REGION,Sagar Ramdas Sonawane,4/23/2023,6/2/2023,22/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Ge1CSsTxJZkgXw4JCPaCY1tzCcQXBNPV/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Polytechnic,India,"7,8,11,13",https://docs.google.com/document/d/1vHS80XfkglLk_gfxOjMvLngC8xLJpci7/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
220,202321026331,Published,"Prof. Mrunal P. Fatangare, Prof. Hemlata Sandip Ohal, Prof. Vilas C. Rathod, Prof. Farhadeeba I. Shaikh, Prof. Kajal A. Chavhan, Jitendra V. Kachare	",IOT AND ARTIFICIAL INTELLIGENCE BASED SMART FARMING SYSTEM USING CLOUD COMPUTING AND WIRELESS SENSOR NETWORK,"Prof. Mrunal P. Fatangare, Prof. Hemlata Sandip Ohal, Prof. Vilas C. Rathod, Prof. Farhadeeba I. Shaikh, Prof. Kajal A. Chavhan, Jitendra V. Kachare	",4/8/2023,5/12/2023,19/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1V7CndNNAQCoBu16VDmqhcuHrwB2RSGbO/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"2,6,9,12,13",https://docs.google.com/document/d/1VGf7qxKEwfXKZWe28hK925fYIOMZcqE8/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
221,202321038972,Published,"Shrihari Mahadeo Bondar, Dr. Chidanand Dhondappa Koshti, Dr. Ratnakar Raghunath Ghorpade",A MANHOLE COVER FOR A DRAINAGE LINE,Dr. Vishwanath Karad MIT World Peace University,6/7/2023,8/25/2023,34/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1XtkGwYa8lU6-vW2pXTEqK8xWdrvSjGiD/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"6,9,11,13",https://docs.google.com/document/d/1_2Ul9PjsorJ9cFGClU6luU-CxePrPdgk/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
222,202341006686,Published,"Dr. Kakarlamudi V S Sudhakar, Dr. Santosh Kumar Singh, Dr. Pramod Kumar Nayak, Mrs.Mrunal Swapnil Aware, Mrs. Nita Ganesh Dongre(Jaybhaye), Mr. Mahendra Prabhakar Shinde",Improvement of an Intelligent Transportation System by using Blockchain technology,"Dr. Kakarlamudi V S Sudhakar, Dr. Santosh Kumar Singh, Dr. Pramod Kumar Nayak, Mrs.Mrunal Swapnil Aware, Mrs. Nita Ganesh Dongre(Jaybhaye), Mr. Mahendra Prabhakar Shinde",2/2/2023,2/10/2023,06/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1eQ9fV3Rqo8WIMNe-i1RsM19CcBrabsOE/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"9,11,13,16,17",https://docs.google.com/document/d/1RWqFSESawSdp8437sKvzSXQkw3UU6Smo/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
223,202321011100,Published,"Mr.Shrishail Basaprabhu Sollapur, Mr.Snehal Sayajirao Wagh, Mr Tushar Santosh Nikumbh, Chetana S Batakurki, Mr. Rajendra Navnath Todkar, Mr.Pradip Dnyaneshwar Bhambure, Ravibala Abhijit Patil, Mr.Vivekanand Naikwadi, Mr.Prashant Rade",DESIGN AND IMPROVEMENT OF MODIFIED BRAKE PEDAL WITH FOOT MOMENT DETECTOR,"Mr.Shrishail Basaprabhu Sollapur, Mr.Snehal Sayajirao Wagh, Mr Tushar Santosh Nikumbh, Chetana S Batakurki, Mr. Rajendra Navnath Todkar, Mr.Pradip Dnyaneshwar Bhambure, Ravibala Abhijit Patil, Mr.Vivekanand Naikwadi, Mr.Prashant Rade",2/18/2023,3/17/2023,11/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1rhRa43C4SjE2D5ktrv71LYsja_RO2akx/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Polytechnic,India,"3,9,11,12",https://docs.google.com/document/d/1A4sEK0faDsaQP8jUGBT9LcRomeoMAr8b/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
224,202321048592,Published,"Sandip Tukaram Chavan, Nakul Pramod Patil, Atharva Manoj Atre, Aniruddha Rajesh Paigude",AN AUTOMOBILE CLEANING UNIT,Dr. Vishwanath Karad MIT World Peace University,7/19/2023,9/22/2023,38/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1uersipg-M4y6YEtyOg1egUyaOmFcih4G/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"6,9,11,12",https://docs.google.com/document/d/1xxLIZyJ3hc8Usq78XSj-JBH2CMJXulbz/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
225,202321052085,Published,Kundlik Vitthalrao Mali,ENERGY EFFICIENT VAPOUR REFRIGERATION SYSTEMS,Kundlik Vitthalrao Mali,8/2/2023,9/29/2023,39/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Jehe7nx654azTCg5wPPiofgS-LZgOpkl/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"7,9,12,13",https://docs.google.com/document/d/170ByRm-CgUgAGlMndF_qJkHs0v2NCTV6/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
226,202321006692,Published,"Mangesh Saraf, Sankalp Naresh Chopkar",SYSTEM AND METHOD FOR ERROR INSPECTION,"Dr. Vishwanath Karad MIT World Peace University, Mangesh Saraf, Sankalp Naresh Chopkar",2/2/2023,3/3/2023,09/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1nRVlf-MuV4Q51x1cuoircpJF18nQxKG0/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"8,9,12,13",https://docs.google.com/document/d/1P7PAFZqNaJa60NBEHJSNiPEZW1el9-1q/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
227,202321076469,Published,"Niraj S. Topare, Sunita Raut-Jadhav, Shantini A. Bokil, Vishnu P. Choudhari, Anish Khan",AN EFFICIENT AND COST-EFFECTIVE SYSTEM AND METHOD FOR REMOVAL OF A DISPERSED DYE FROM WASTEWATER,Dr. Vishwanath Karad MIT World Peace University,11/9/2023,12/22/2023,51/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1NQcJiByKwVBBOfx32pcniYntWOVhttrH/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Chemical Engineering,India,"6,12,9,13",https://docs.google.com/document/d/1XPD06kLQt48i5yx_FVWuVMYLKrAxcSFy/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
228,202321060826,Published,"Mr. Rajkumar Damodar Komati, Dr. Manoj S. Nagmode",SYSTEM AND METHOD FOR ENHANCEMENT OF MOTIONS OR CHANGES IN REGION OF INTEREST IN A VIDEO,Dr. Vishwanath Karad MIT World Peace University,9/10/2023,12/15/2023,50/2023,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1KrRFeh18K683V0pjx-IPMo6sPeXWT4Cy/view?usp=drive_link,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,,,,,,,,,,,,,,,,,,,,
229,202321052872,Published,"Prof. Swanand Pachpore, Mr. Adityaraj Kate, Mr. Atharva Khadse, Prof. Omkar Kulkarni, Prof. Samidha A Jawade",A COMPRESSIVE TESTING DEVICE FOR ENDODONTIC APPLICATION,Dr. Vishwanath Karad MIT World Peace University,8/7/2023,10/6/2023,"	40/2023","Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1nA7ZXbba_0v5imChq4sIOL8tA_a5Z36v/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"3,9,12,4",https://docs.google.com/document/d/1vvkBUki_uEui3obw87wfm9IKB19LQcFj/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
230,2023/08594,Published,"KOTHAVALE, Basavraj; ANJALEKAR,Manas; SHIRODE,Deep; HIMANE,Sahil",A SOIL FERTILITY DETECTION ROBOT,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; KOTHAVALE, Basavraj; ANJALEKAR,Manas; SHIRODE,Deep; HIMANE,Sahil",9/7/2023,NA,2023/08594,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ELaau68sTutfVlbpo3YwZboDHChQ-RaX/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"2,12,9,15,13,8,17",https://docs.google.com/document/d/1MKCWkML9jHG49vTeAEnEf7TUa9G58wZ0/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
231,2023/09088,Published,"AHER, Jaideep Vinod; GADEKAR, Abhijit Suresh; BARVE, Shivprakash B.; PATEL, Vibha",A MODULAR UNMANNED GROUND VEHICLE WITH MULTI-MODAL SENSING AND CONTROL CAPABILITIES,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; AHER, Jaideep Vinod; GADEKAR, Abhijit Suresh; BARVE, Shivprakash B.; PATEL, Vibha",9/27/2023,NA,2023/09088,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1x2NmjMf-VvcGwePPlAM5U4au3ORPb19J/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"9,11,13,8,12,15,17",https://docs.google.com/document/d/1eyN7I0v_9uOyuHNWeU49nCsZUgFEqYWK/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
232,2023/08591,Published,"WADGAONKAR,Vinayak S.; BHATKAR,Siraj; SHENOY,Vignesh; TATPATE,Pallavi",AN INTELLIGENT WEIGHT INDICATOR AND MONITORING DEVICE FOR DOMESTIC LPG CYLINDER,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; WADGAONKAR,Vinayak S.; BHATKAR,Siraj; SHENOY,Vignesh; TATPATE,Pallavi",9/7/2023,NA,2023/08591,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1PaeyUzI1x89-iYMcwtq6R-WGLfUKOyo1/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"7,9,12,3,11,13",https://docs.google.com/document/d/1Hk2DeREDC7I3Tr76rSmaXigptszqPdux/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
233,2023/08593,Published,"LOKHANDE, Netra; VERMA, Rupeshkumar; KISHAN, Shubham",A Computer Engineering & Technology AIDED DIAGNOSIS SYSTEM FOR GLAUCOMA DETECTION,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; LOKHANDE, Netra; VERMA, Rupeshkumar; KISHAN, Shubham",9/7/2023,NA,2023/08593,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1pHBIkq7jB89PKR0Sb8pFPFrSkVfDeGMd/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"3,9,4,10,17",https://docs.google.com/document/d/1J7x9UuezgaKndoN9DR3V5YWQJY423_2p/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
234,2023/08592,Published,"INGLE, Ganesh Shivaji; SHINDE, Sumant; SONAWANE, Mahesh B.",A MOULD FOR PREPARATION OF LIGHT WEIGHT CONCRETE PANEL BY USING E-WASTE,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; INGLE, Ganesh Shivaji; SHINDE, Sumant; SONAWANE, Mahesh B.",9/7/2023,NA,2023/08592,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1OVVn4ldd5L1LZ0HZhsD8byE7DDhbrjcN/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Civil Engineering,South Africa,"11,12,9,13,6,3",https://docs.google.com/document/d/1-DUp7S3u0OprFa8ao1zJpFrcDqsU1i1R/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
235,2023/08595,Published,"WADGAONKAR, Vinayak S; KHURPADE, Pratiksha; BHATKAR, Siraj; SHENOY, Vignesh; TATPATE, Pallavi",A METAL ION ADSORBENT,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; WADGAONKAR, Vinayak S; KHURPADE, Pratiksha; BHATKAR, Sira; SHENOY, Vignesh; TATPATE, Pallavi",9/7/2023,NA,2023/08595,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1E1gv8mQK0l0IeGsm2jTAEKPxAJLpXJJE/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"6,12,3,13,15,9",https://docs.google.com/document/d/12mFtvmsPOtfShDzJa1mfPgyh7LEUravY/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
236,2023/08626,Published,"PATIL,Shreyas Nitin; PESODE,PralhadAtmaram",A SOLAR LIGHT TUBE FOR MULTILAYER FARMING,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; PATIL,Shreyas Nitin; PESODE,PralhadAtmaram",9/8/2023,NA,2023/08626,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/10flC3IouzhJ9B_FnT1_7ID0i2WHXxFrP/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"2,7,12,13,9,11,15",https://docs.google.com/document/d/1fkWoS7ln9gZ_rUbp5EKb_LOcrU5qmEeG/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
237,2023/08628,Published,"KANTHALE, Vilas S.; DANDAWATE, Parth; AGARWAL, Arpit; PANWAR, Vikramaditya Singh",AN AUTOMATIC RESUSCITATOR BAG VENTILATOR,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; KANTHALE, Vilas S.; DANDAWATE, Parth; AGARWAL, Arpit; PANWAR, Vikramaditya Singh",9/8/2023,NA,2023/08628,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1O290m8WkmnWEnlQfBZfVa3NyF_xrDtqB/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,12,1,11,17",https://docs.google.com/document/d/1RNnQTf5OK01SMCE21K3TOevbpPYw001a/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
